file,F0_Hz,harmonics,beta_tilt,spectral_centroid_Hz
sound_01.wav,130.0,24,3.5,131.15334043008954
sound_02.wav,142.88888888888889,21,3.5,144.11928535909152
sound_03.wav,155.77777777777777,19,3.5,157.0985574975634
sound_04.wav,168.66666666666669,16,3.5,170.1225002756635
sound_05.wav,181.55555555555554,14,3.5,183.16273442619752
sound_06.wav,194.44444444444446,11,3.5,196.1757201721273
sound_07.wav,207.33333333333334,9,3.5,209.15464913608835
sound_08.wav,220.22222222222223,6,3.5,222.13495889162323
sound_09.wav,233.11111111111111,4,3.5,235.13347228465844
sound_10.wav,246.0,2,3.5,247.89670156016822
